setpoint temp, avg measured temp, avg measured diode voltage
4.212591,4.561975,1.616412
4.212591,4.562475,1.616463
-----real data begins below this line-----
4.212591,4.562743,1.616569
4.687817,4.682208,1.607079
5.100022,5.098886,1.582514
5.620245,5.619781,1.556706
6.354748,6.353097,1.524098
7.195028,7.193788,1.489300
8.254846,8.255431,1.449458
9.314936,9.317290,1.414389
-----------new run---------------------
6.354748,6.351929,1.523900
7.195028,7.193970,1.489238
8.254846,8.255510,1.449494
9.314936,9.312842,1.414367
------------------------------------
10.365485,10.354242,1.384215
----------new run after warmingup cooldown---------------------

10.365485,10.364608,1.384235
11.404580,11.404170,1.357118
12.421216,12.420432,1.333129
13.422162,13.423342,1.311475
14.406296,14.405496,1.291928
15.376143,15.375824,1.273945
16.331054,16.331454,1.257290
17.280309,17.279615,1.241421
18.223758,18.222919,1.226236
19.166694,19.165775,1.211285
20.118159,20.118207,1.196222
21.175324,21.174909,1.178680
22.736462,22.736012,1.146879
24.355905,24.355068,1.123225
25.988230,25.988068,1.115859
27.598583,27.598007,1.111500
29.209357,29.208991,1.108000
31.020591,31.020168,1.104400
33.125361,33.125007,1.100600
36.127590,36.126925,1.095400
39.131288,39.131025,1.090500
42.132751,42.132012,1.085600
45.130705,45.130089,1.080807
48.131924,48.131497,1.076005
50.131892,50.131003,1.072800
55.128172,55.127659,1.064710
60.122867,60.121818,1.056559
65.107896,65.103765,1.048309
70.102812,70.110557,1.039903
75.089268,75.049299,1.031490
80.096510,80.180245,1.022567
85.080809,85.216235,1.013674
90.075186,90.196999,1.004742
95.078179,94.981976,0.996045
